省份,城市,确诊,死亡,治愈,时间
陕西,铜川,8,0,8,5/28/2020 8:55
陕西,延安,8,0,8,5/28/2020 8:55
陕西,宝鸡,13,0,13,5/28/2020 8:55
陕西,安康,26,0,26,5/28/2020 8:55
辽宁,沈阳,31,0,31,5/28/2020 8:55
辽宁,抚顺,1,0,1,5/28/2020 8:55
辽宁,大连,18,0,18,5/28/2020 8:55
辽宁,境外输入,21,0,21,5/28/2020 8:55
辽宁,朝阳市,6,1,5,5/28/2020 8:55
辽宁,丹东,11,0,11,5/28/2020 8:55
辽宁,葫芦岛,12,1,11,5/28/2020 8:55
辽宁,铁岭,7,0,7,5/28/2020 8:55
辽宁,鞍山,4,0,4,5/28/2020 8:55
辽宁,锦州,12,0,12,5/28/2020 8:55
辽宁,盘锦,11,0,11,5/28/2020 8:55
辽宁,阜新,8,0,8,5/28/2020 8:55
辽宁,本溪,3,0,3,5/28/2020 8:55
辽宁,辽阳,3,0,3,5/28/2020 8:55
辽宁,营口,1,0,1,5/28/2020 8:55
青海,海北州,3,0,3,5/28/2020 8:55
青海,西宁,15,0,15,5/28/2020 8:55
河南,漯河,36,0,36,5/28/2020 8:55
河南,境外输入,3,0,3,5/28/2020 8:55
河南,地区待确认,0,0,0,5/28/2020 8:55
河南,周口,76,1,75,5/28/2020 8:55
河南,南阳,156,3,153,5/28/2020 8:55
河南,信阳,274,2,272,5/28/2020 8:55
河南,郑州,157,5,152,5/28/2020 8:55
河南,济源示范区,5,0,5,5/28/2020 8:55
河南,安阳,53,0,53,5/28/2020 8:55
河南,新乡,57,3,54,5/28/2020 8:55
河南,许昌,39,1,38,5/28/2020 8:55
河南,商丘,91,3,88,5/28/2020 8:55
河南,驻马店,139,0,139,5/28/2020 8:55
河南,焦作,32,1,31,5/28/2020 8:55
河南,开封,26,0,26,5/28/2020 8:55
河南,平顶山,58,1,57,5/28/2020 8:55
河南,洛阳,31,1,30,5/28/2020 8:55
河南,濮阳,17,0,17,5/28/2020 8:55
河南,鹤壁,19,0,19,5/28/2020 8:55
河南,三门峡,7,1,6,5/28/2020 8:55
广西,境外输入,2,0,2,5/28/2020 8:55
广西,北海,44,1,43,5/28/2020 8:55
广西,防城港,19,0,19,5/28/2020 8:55
广西,来宾,11,0,11,5/28/2020 8:55
广西,柳州,24,0,24,5/28/2020 8:55
